tok,freq,score
the,5558793,0.00827112927744805
to,2905133,0.00432265252747863
a,2665115,0.00396552105902594
and,2513143,0.00373939642035845
of,2173141,0.00323349513988428
in,1960510,0.00291711377986726
for,1213023,0.00180490082100878
i,1071178,0.00159384451213748
that,1046080,0.00155650028964073
is,1025009,0.00152514798618113
